name,field,subcategory,mbti
"""Khaotung"" Thanawat Ratanakitpaisan",Entertainment,Actors & Actresses,INFP
"""Man"" Trisanu Soranun",Entertainment,Actors & Actresses,ENFP
"""PP"" Krit Amnuaydechkorn",Entertainment,Actors & Actresses,ESTP
A. J. Holmes,Entertainment,Actors & Actresses,INFJ
A.J. Cook,Entertainment,Actors & Actresses,ESFJ
Aamina Sheikh,Entertainment,Actors & Actresses,ISTJ
Aamir Khan,Entertainment,Actors & Actresses,INFJ
Aamir Liaquat Hussain,Entertainment,Actors & Actresses,ENFJ
Aaron Altaras,Entertainment,Actors & Actresses,ENFJ
Aaron Bleyaert,Entertainment,Film & TV Crew,ENFP
Aaron Dismuke,Entertainment,Voice Acting,ISFJ
Aaron Eckhart,Entertainment,Actors & Actresses,ENFP
Aaron Kwok,Entertainment,Actors & Actresses,ESFP
Aaron Paul,Entertainment,Actors & Actresses,ESFP
Aaron Sorkin,Entertainment,Film Directors,INTJ
Aaron Spelling,Entertainment,Film & TV Crew,INFJ
Aaron Taylor-Johnson,Entertainment,Actors & Actresses,INFJ
Aaron Tveit,Entertainment,Actors & Actresses,ESFJ
Abbas Kiarostami,Entertainment,Film Directors,INTP
Abbas Mowzoon,Entertainment,Film & TV Crew,INFJ
Abbi Jacobson,Entertainment,Actors & Actresses,ENFP
Abby Huntsman,Entertainment,Hosts & Presenters,ESFJ
Abby Lee Miller,Entertainment,Hosts & Presenters,ESTJ
Abby Trott,Entertainment,Voice Acting,ESFP
Abdolreza Kahani,Entertainment,Film Directors,INTP
"AbdRahman Lamri ""Gotze""",Entertainment,Actors & Actresses,ESTP
Abe Hiroshi,Entertainment,Actors & Actresses,INTP
Abe Sadao,Entertainment,Actors & Actresses,INFJ
Abel Ferarra,Entertainment,Film Directors,ISTP
Abel Gance,Entertainment,Film Directors,INFJ
Abelard Giza,Entertainment,Comedians,ENTP
Abhishek Upmanyu,Entertainment,Comedians,ENTP
Abigail “Abbey” Cowen,Entertainment,Actors & Actresses,ENFP
Abigail Breslin,Entertainment,Actors & Actresses,ISFJ
Abimana Aryasatya,Entertainment,Actors & Actresses,INFP
Abner Henrique,Entertainment,Comedians,INTP
Abubakar Salim,Entertainment,Actors & Actresses,INFJ
AC Bonifacio,Entertainment,Actors & Actresses,ISFP
Achmed (Jeff Dunham),Entertainment,Comedians,ESTP
Adal Ramones,Entertainment,Hosts & Presenters,ESFJ
Adam Berg,Entertainment,Comedians,INFJ
Adam Brody,Entertainment,Actors & Actresses,ENFP
Adam Carolla,Entertainment,Comedians,ESTP
Adam Conover (Adam Ruins Everything),Entertainment,Hosts & Presenters,ENFP
Adam Copeland,Entertainment,Actors & Actresses,INTP
Adam DeVine,Entertainment,Actors & Actresses,ENTP
Adam DiMarco,Entertainment,Actors & Actresses,ISFP
Adam Driver,Entertainment,Actors & Actresses,INFP
Adam Eget,Entertainment,Hosts & Presenters,ENFJ
Adam Friedland,Entertainment,Comedians,ISFP
Adam Howden,Entertainment,Voice Acting,ISFJ
Adam McKay,Entertainment,Film Directors,ENTP
Adam Pesapane (PES),Entertainment,Film Directors,INFP
Adam Sandler,Entertainment,Actors & Actresses,ISFP
Adam Scott,Entertainment,Actors & Actresses,INTJ
Adam West,Entertainment,People of Classic Hollywood,ENTP
Adam Wingard,Entertainment,Film Directors,ENFP
Addison Timlin,Entertainment,Actors & Actresses,ENTJ
Adel Emam,Entertainment,Actors & Actresses,ENTP
Adela Vinczeová,Entertainment,Hosts & Presenters,ENTP
Adelaide Kane,Entertainment,Actors & Actresses,ISTP
Adèle Exarchopoulos,Entertainment,Actors & Actresses,ESFP
Adèle Haenel,Entertainment,Actors & Actresses,ENFP
Adetomiwa Edun,Entertainment,Actors & Actresses,INTJ
Adhisty Zara,Entertainment,Actors & Actresses,ESFP
Adile Naşit,Entertainment,Actors & Actresses,ESFJ
Adina Porter,Entertainment,Actors & Actresses,ESFJ
Adipati Dolken,Entertainment,Actors & Actresses,ISFP
Aditi Rao hydari,Entertainment,Actors & Actresses,ENFJ
Aditya Roy Kapoor,Entertainment,Actors & Actresses,ISFP
Adivi Sesh,Entertainment,Actors & Actresses,ENTJ
Adnan Malik,Entertainment,Actors & Actresses,ENFP
Adri Lacaita,Entertainment,Actors & Actresses,ENFP
Adrian Edmondson,Entertainment,Comedians,ENTP
Adrian Greensmith,Entertainment,Actors & Actresses,ENTP
Adrian Grenier,Entertainment,Actors & Actresses,ENFP
Adrián Marcelo,Entertainment,Comedians,ENTP
"Adrián Nario ""El Bananero""",Entertainment,Comedians,ENTP
Adrián Uribe,Entertainment,Actors & Actresses,ESTP
Adriana Esteves,Entertainment,Actors & Actresses,ENFJ
Adriana Karembeu,Entertainment,Models,INFP
Adriana Lima,Entertainment,Models,ESFJ
Adriana Volpe,Entertainment,Hosts & Presenters,ESFJ
Adriane Galisteu,Entertainment,Hosts & Presenters,ESFJ
Adrianne Palicki,Entertainment,Actors & Actresses,ESTP
Adrien Brody,Entertainment,Actors & Actresses,INFJ
Adrienne Bailon,Entertainment,Actors & Actresses,ESFJ
Adut Akech,Entertainment,Models,ENFP
Afonso Padilha,Entertainment,Comedians,INTP
Afra Saraçoğlu,Entertainment,Actors & Actresses,ESTP
Afsaneh pakroo,Entertainment,Actors & Actresses,ISFP
Aftab Shivdasani,Entertainment,Actors & Actresses,ESFP
Agapito Díaz,Entertainment,Comedians,ISFP
Agatha Chelsea,Entertainment,Actors & Actresses,INFJ
Agatha Moreira,Entertainment,Actors & Actresses,ISFP
Agnès Varda,Entertainment,Film Directors,ENFP
Aguinaldo Silva,Entertainment,Film & TV Crew,ESFJ
Aguri Ōnishi,Entertainment,Actors & Actresses,ESFJ
Ahaana Krishna,Entertainment,Actors & Actresses,ESFJ
Ahad Raza Mir,Entertainment,Actors & Actresses,ISTP
Ahikar Azcona,Entertainment,Actors & Actresses,INFJ
Ahmad Mehranfar,Entertainment,Actors & Actresses,ENTP
Ahmed Best,Entertainment,Actors & Actresses,ISFP
ahmed el sakka,Entertainment,Actors & Actresses,ESTP
Ahmed Helmy,Entertainment,Actors & Actresses,ENTP
Ahmed Malek,Entertainment,Actors & Actresses,INFJ
Ahmed Mekky,Entertainment,Actors & Actresses,ENFJ
Ahmed Zaki,Entertainment,Actors & Actresses,INFJ
Ahmet Mümtaz Taylan,Entertainment,Actors & Actresses,ISFJ
Ahn Hyo Seop,Entertainment,Actors & Actresses,INTP
Ahn Jae-hyun,Entertainment,Actors & Actresses,ESTP
Ahsen Eroğlu,Entertainment,Actors & Actresses,ENFP
Ahsen Ünver,Entertainment,Actors & Actresses,ENFJ
Ai Furihata,Entertainment,Voice Acting,ISFJ
Ai Hashimoto,Entertainment,Actors & Actresses,INTP
Ai Kakuma,Entertainment,Voice Acting,INFP
Ai Kayano,Entertainment,Voice Acting,ESFJ
Ai Nonaka,Entertainment,Voice Acting,ESFP
Ai Yoshikawa,Entertainment,Actors & Actresses,INFP
Aiba Aina,Entertainment,Voice Acting,ESFP
Aidan Gallagher,Entertainment,Actors & Actresses,ENTJ
Aidan Gillen,Entertainment,Actors & Actresses,INTP
Aidy Bryant,Entertainment,Actors & Actresses,ENFP
Aika Kobayashi,Entertainment,Voice Acting,ESTP
Aílton Graça,Entertainment,Actors & Actresses,ESFP
Aimee Carrero,Entertainment,Voice Acting,ENFP
Aimee Garcia,Entertainment,Actors & Actresses,ENTP
Aimee Lou Wood,Entertainment,Actors & Actresses,ENFP
Aimi,Entertainment,Voice Acting,ENFJ
Aimi Kash,Entertainment,Models,INFP
Aina Kusuda,Entertainment,Voice Acting,ISFP
Aina Suzuki,Entertainment,Voice Acting,ESFP
Ainsley Earhardt,Entertainment,Hosts & Presenters,ESFJ
Aishwarya Rai,Entertainment,Actors & Actresses,INFJ
Aisling Bea,Entertainment,Actors & Actresses,ENTP
Aj (wonderland system),Entertainment,Comedians,INFP
AJ Bowen,Entertainment,Actors & Actresses,ISFJ
AJ Michalka,Entertainment,Actors & Actresses,ENFJ
AJ Raval,Entertainment,Actors & Actresses,ESFP
Ajay Devgn,Entertainment,Actors & Actresses,ISTP
Ajith Kumar,Entertainment,Actors & Actresses,ISTP
Akaash Singh,Entertainment,Comedians,ENTJ
Akari Kitō,Entertainment,Voice Acting,ISFP
Akash Kumar,Entertainment,Models,ISFP
Akeno Watanabe,Entertainment,Voice Acting,ENFP
Aki Kaurismäki,Entertainment,Film Directors,INFP
Aki Toyosaki,Entertainment,Voice Acting,ENFP
Akio Ōtsuka,Entertainment,Voice Acting,ISFP
Akira Ishida,Entertainment,Voice Acting,INTP
Akira Kurosawa,Entertainment,Film Directors,INFJ
Akiva Schaffer,Entertainment,Actors & Actresses,INTP
Akom Preedakul (Kom Chuanchuen),Entertainment,Comedians,ESFP
Akshay Kumar,Entertainment,Actors & Actresses,ISTJ
Al Ghazali,Entertainment,Actors & Actresses,ESTJ
Al Jolson,Entertainment,People of Classic Hollywood,ESFP
Al Pacino,Entertainment,Actors & Actresses,INFJ
